1,Abia, Nigeria
2,Adamawa, Nigeria
3,Aga Buryat, Russia
4,Aguascalientes, Mexico
5,Agusan del Norte, Philippines
6,Ahal, Turkmenistan
7,Ajdabiya, Libya
8,Akrahreppur, Iceland
9,Akwa Ibom, Nigeria
10,Al Ahmadi, Kuwait
11,Al Batnah, Oman
12,Al Butnan, Libya
13,Al Hizam Al Akhdar, Libya
14,Al Hudaydah, Yemen
15,Al Jabal al Akhdar, Libya
16,Al Jahrah, Kuwait
17,Al Jufrah, Libya
18,Al Marqab, Libya
19,Alabama, United States of America
20,Alaska, United States of America
21,Albay, Philippines
22,Aleppo (Halab), Syria
23,Almaty, Kazakhstan
24,Altay, Russia
25,Alto Paraguay, Paraguay
26,Alto Paraná, Paraguay
27,Amambay, Paraguay
28,Amazonas, Peru
29,Amur, Russia
30,Anambra, Nigeria
31,Ancash, Peru
32,Antsiranana, Madagascar
33,Apurímac, Peru
34,Aqmola, Kazakhstan
35,Ar Raqqah, Syria
36,Arad, Romania
37,Arequipa, Peru
38,Arges, Romania
39,Arizona, United States of America
40,Arkhangel'sk, Russia
41,Arua Municipality, Uganda
42,Ash Sharqiyah, Saudi Arabia
43,Asunción, Paraguay
44,Atlántico Norte, Nicaragua
45,Atlántida, Honduras
46,Atyrau, Kazakhstan
47,Auckland, New Zealand
48,Avilés, Spain
49,Ayacucho, Peru
50,Aydin, Turkey
51,Az Zawiyah, Libya
52,Azores, Portugal
53,Bacau, Romania
54,Baja California Sur, Mexico
55,Baja California, Mexico
56,Balti, Moldova
57,Bamako, Mali
58,Bani Walid, Libya
59,Banke, Nepal
60,Banskobystrický, Slovakia
61,Baranya, Hungary
62,Bashkortostan, Russia
63,Belgorod, Russia
64,Bocas del Toro, Panama
65,Brasov, Romania
66,Bristol, United Kingdom
67,Buskerud, Norway
68,Caazapá, Paraguay
69,Caazapá,Paraguay
70,Cadavedo, Spain
71,California, United States of America
72,Callao, Peru
73,Canindeyú,Paraguay
74,Canterbury, New Zealand
75,Central, Zambia
76,Chihuahua, Mexico
77,Chita, Russia
78,Chuvash, Russia
79,Coahuila, Mexico
80,Coast, Kenya
81,Colorado, United States of America
82,Concepción,Paraguay
83,Cordillera,Paraguay
84,Dak Lak, Vietnam
85,Diourbel, Senegal
86,Diyarbakir, Turkey
87,Florida, United States of America
88,Fortaleza, Brazil
89,Gangwon-do, South Korea
90,Gijón, Spain
91,Gävleborg,Sweden
92,Illinois,United States of America
93,Jericoacoara, Brazil
94,Kayes, Mali
95,Khabarovsk,Russia
96,Llanes, Spain
97,Manaos, Brazil
98,Morvís, Spain
99,Niembro, Spain
100,Oviedo, Spain
101,Peón, Spain
102,Prachuap Khiri Khan,Thailand
103,Southern,Rwanda
104,Texas,United States of America
105,Twin Peaks, Unites States of América